1,CLASSIC AND VINTAGE,,,,,,,
2,,,,,,,,
3,20TH CENTURY,BEEFEATER LONDON DRY GIN,,GIN (LONDON DRY),139,"Shake all the ingredients with ice, then double",,
4,20TH CENTURY,MARIE BRIZARD WHITE CRÈME DE CACAO,,LIQUEUR (CRÈME DE CACAO),139,strain into a coupe. No garnish.,,
5,20TH CENTURY,COCCHI AMERICANO,,APERITIF (COCCHI AMERICANO),139,,,
6,20TH CENTURY,LEMON JUICE,,JUICE (LEMON),139,,,
7,,,,,,,,
8,AIRMAIL,RON DEL BARRILITO 3-STAR RUM,,RUM (SPANISH),139,Shake all the ingredients (except the champagne),,
9,AIRMAIL,LIME JUICE,,JUICE (LIME),139,"with ice, then strain into a flute. Top with",,
10,AIRMAIL,ACACIA HONEY SYRUP,,SYRUP (HONEY),139,champagne. No garnish.,,
11,AIRMAIL,DRY CHAMPAGNE,,WINE (SPARKLING),139,,,
12,,,,,,,,
13,AVIATION,PLYMOUTH GIN,,GIN (PLYMOUTH),139,GARNISH: 1 BRANDIED CHERRY,,
14,AVIATION,LUXARDO MARASCHINO LIQUEUR,,LIQUEUR (CHERRY),139,"Shake all the ingredients with ice, then strain into",,
15,AVIATION,CRÈME YVETTE,,LIQUEUR (CRÈME YVETTE),139,a coupe. Garnish with the cherry.,,
16,AVIATION,LEMON JUICE,,JUICE (LEMON),139,,,
17,AVIATION,SIMPLE SYRUP,,SYRUP (SIMPLE),139,,,
18,,,,,,,,
19,BAMBOO,DOLIN BLANC VERMOUTH,,VERMOUTH (BLANC),140,GARNISH: 1 LEMON TWIST,,
20,BAMBOO,BARBADILLO PRINCIPE AMONTILLADO SHERRY,,SHERRY (AMONTILLADO),140,"Stir all the ingredients over ice, then strain into a",,
21,BAMBOO,CANE SUGAR SYRUP,,SYRUP (CANE SUGAR),140,rocks glass. Garnish with the lemon twist.,,
22,BAMBOO,HOUSE ORANGE BITTERS,,BITTERS (ORANGE),140,,,
23,BAMBOO,ANGOSTURA BITTERS,,BITTERS (AROMATIC),140,,,
24,,,,,,,,
25,BEE’S KNEES,TANQUERAY LONDON DRY GIN,,GIN (LONDON DRY),140,GARNISH: 1 BRANDIED CHERRY,,
26,BEE’S KNEES,LEMON JUICE,,JUICE (LEMON),140,"Shake all the ingredients with ice, then strain into",,
27,BEE’S KNEES,ACACIA HONEY SYRUP,,SYRUP (HONEY),140,a coupe. Garnish with the cherry,,
28,BEE’S KNEES,SCRAPPY’S LAVENDER BITTERS,,BITTERS (LAVENDER),140,,,
29,,,,,,,,
30,BLOOD AND SAND,SPRINGBANK 10-YEAR SCOTCH,,WHISKEY (SCOTCH CAMPBELTOWN),140,GARNISH: 1 BRANDIED CHERRY,,
31,BLOOD AND SAND,CHERRY HEERING,,CHERRY HEERING,140,"Shake all the ingredients with ice, then strain into",,
32,BLOOD AND SAND,HOUSE SWEET VERMOUTH,,VERMOUTH (SWEET),140,a coupe. Garnish with the cherry.,,
33,BLOOD AND SAND,ORANGE JUICE,,JUICE (ORANGE),140,,,
34,BLOOD AND SAND,LEMON JUICE,,JUICE (LEMON),140,,,
35,,,,,,,,
36,BOBBY BURNS,SPRINGBANK 10-YEAR SCOTCH,,WHISKEY (SCOTCH CAMPBELTOWN),140,GARNISH: 1 LEMON TWIST,,
37,BOBBY BURNS,HOUSE SWEET VERMOUTH,,VERMOUTH (SWEET),140,"1, DASH, ANGOSTURA BITTERS",,
38,BOBBY BURNS,DRAMBUIE,,LIQUEUR (DRAMBUIE),140,"Stir all the ingredients over ice, then strain into a",,
39,,,,,,martini glass. Garnish with the lemon twist.,,
40,,,,,,,,
41,BOULEVARDIER,ELIJAH CRAIG 12-YEAR BOURBON,,WHISKEY (BOURBON),140,GARNISH: 1 LEMON TWIST,,
42,BOULEVARDIER,HOUSE SWEET VERMOUTH,,VERMOUTH (SWEET),140,"Stir all the ingredients over ice, then strain into a",,
43,BOULEVARDIER,CAMPARI,,AMARO (APERITIVO),140,coupe. Garnish with the lemon twist.,,
44,,,,,,,,
45,BROOKLYN,RITTENHOUSE 100 RYE,,WHISKEY (RYE),140,"Stir all the ingredients over ice, then strain into a",,
46,BROOKLYN,DOLIN DRY VERMOUTH,,VERMOUTH (DRY),140,coupe. No garnish.,,
47,BROOKLYN,AMARO CIOCIARO,,AMARO (MEDIUM),140,,,
48,BROOKLYN,LUXARDO MARASCHINO LIQUEUR,,LIQUEUR (CHERRY),140,,,
49,,,,,,,,
50,BROWN DERBY,ELIJAH CRAIG 12-YEAR BOURBON,,WHISKEY (BOURBON),140,GARNISH: 1 GRAPEFRUIT TWIST,,
51,BROWN DERBY,GRAPEFRUIT JUICE,,JUICE (GRAPEFRUIT),140,"Shake all the ingredients with ice, then strain into",,
52,BROWN DERBY,LEMON JUICE,,JUICE (LEMON),140,a coupe. Garnish with the grapefruit twist.,,
53,BROWN DERBY,ACACIA HONEY SYRUP,,SYRUP (HONEY),140,,,
54,,,,,,,,
55,CAIPIRINHA,LIME WEDGES,,FRUIT (LIME),141,"In a shaker, muddle the lime with the simple",,
56,CAIPIRINHA,SIMPLE SYRUP,,SYRUP (SIMPLE),141,syrup and sugar cube. Add the cachaça and,,
57,CAIPIRINHA,WHITE SUGAR CUBE,,SUGAR CUBE,141,"shake with ice, then dump into a double rocks",,
58,CAIPIRINHA,AVUÁ AMBURANA CACHAÇA,,CACHAÇA,141,glass. No garnish.,,
59,,,,,,,,
60,CHAMPS-ÉLYSÉES,PIERRE FERRAND AMBRE COGNAC,,BRANDY (GRAPE),141,GARNISH: 1 LEMON TWIST,,
61,CHAMPS-ÉLYSÉES,GREEN CHARTREUSE,,CHARTREUSE (GREEN),141,"Shake all the ingredients with ice, then strain into",,
